type,council_code,council_name,cadnum,declared_ha,geom_ha,ratio,points
truncated,6510100000,5-е селище (5-й посёлок),6510100000:18:006:0245,0.0433,0.0184,0.4241,7
truncated,6510100000,5-е селище (5-й посёлок),6510100000:01:002:0225,0.076,0.0306,0.4029,6
truncated,6510100000,5-е селище (5-й посёлок),6510100000:18:006:0390,0.0598,0.0165,0.2766,7
truncated,6510100000,5-е селище (5-й посёлок),6510100000:01:001:0507,0.104,0.025,0.2408,5
truncated,6510100000,5-е селище (5-й посёлок),6510100000:01:003:0022,157.0804,24.3177,0.1548,58
truncated,6510100000,5-е селище (5-й посёлок),6510100000:01:003:0004,154.9941,3.0263,0.0195,10
truncated,6510100000,5-е селище (5-й посёлок),6510100000:01:001:0453,297.9563,4.273,0.0143,17
truncated,6510100000,5-е селище (5-й посёлок),6510100000:01:003:0002,136.2989,1.2468,0.0091,22
truncated,6510136300,Таврійський (Таврический),6510136300:26:005:0056,0.0521,0.0225,0.4318,12
truncated,6510136300,Таврійський (Таврический),6510136300:26:005:0070,0.0585,0.0199,0.3406,14
truncated,6510136300,Таврійський (Таврический),6510136300:01:001:0680,10.5689,2.6872,0.2543,30
truncated,6510136300,Таврійський (Таврический),6510136300:01:001:2043,0.0348,0.0085,0.243,9
truncated,6510136300,Таврійський (Таврический),6510136300:01:001:2323,0.0303,0.0039,0.1282,9
truncated,6510136300,Таврійський (Таврический),6510136300:01:001:2636,0.0547,0.007,0.1274,4
truncated,6510136300,Таврійський (Таврический),6510136300:27:002:0022,0.2789,0.0104,0.0372,7
truncated,6510136900,Таврійський (Таврический),6510136900:13:003:0055,0.412,0.1834,0.4452,9
truncated,6510136900,Таврійський (Таврический),6510136900:01:001:3458,0.052,0.0227,0.4363,5
truncated,6510136900,Таврійський (Таврический),6510136900:01:001:0108,0.0538,0.022,0.4091,9
truncated,6510136900,Таврійський (Таврический),6510136900:01:001:2345,0.0111,0.004,0.3622,16
truncated,6510136900,Таврійський (Таврический),6510136900:01:001:2103,0.055,0.0176,0.3198,5
truncated,6510136900,Таврійський (Таврический),6510136900:14:005:0049,0.0549,0.0169,0.308,8
truncated,6510136900,Таврійський (Таврический),6510136900:01:001:3155,0.05,0.0147,0.2942,5
truncated,6510136900,Таврійський (Таврический),6510136900:01:001:1949,2.3052,0.4847,0.2103,21
truncated,6510136900,Таврійський (Таврический),6510136900:01:001:0745,0.0602,0.0122,0.2021,6
truncated,6510136900,Таврійський (Таврический),6510136900:14:005:0091,0.053,0.0091,0.1724,5
truncated,6510136900,Таврійський (Таврический),6510136900:01:001:1273,0.1,0.0147,0.1467,5
truncated,6510136900,Таврійський (Таврический),6510136900:01:001:1055,0.0486,0.0063,0.1293,5
truncated,6510136900,Таврійський (Таврический),6510136900:13:003:0056,0.4542,0.0407,0.0896,6
truncated,6510136900,Таврійський (Таврический),6510136900:13:003:0049,0.1103,0.0067,0.061,6
truncated,6510165300,Кіндійка (Киндийка),6510165300:21:011:0002,0.6,0.2997,0.4995,5
truncated,6510165300,Кіндійка (Киндийка),6510165300:05:068:0010,0.0849,0.0376,0.4431,8
truncated,6510165300,Кіндійка (Киндийка),6510165300:05:054:0005,0.0539,0.0216,0.4004,11
truncated,6510165300,Кіндійка (Киндийка),6510165300:02:001:1749,0.055,0.0165,0.2993,5
truncated,6510165300,Кіндійка (Киндийка),6510165300:02:001:0331,0.0967,0.0276,0.285,10
truncated,6510165300,Кіндійка (Киндийка),6510165300:05:050:0007,0.0523,0.0133,0.2541,5
truncated,6510165300,Кіндійка (Киндийка),6510165300:02:001:0370,0.038,0.0082,0.2149,5
truncated,6510165300,Кіндійка (Киндийка),6510165300:02:001:1318,0.0637,0.012,0.1877,6
truncated,6510165300,Кіндійка (Киндийка),6510165300:21:008:0045,0.255,0.0449,0.1762,5
truncated,6510165300,Кіндійка (Киндийка),6510165300:05:068:0011,0.1087,0.0168,0.1548,11
truncated,6510165600,смт Зеленівка (Зеленовка),6510165600:14:010:0014,0.0513,0.0256,0.4993,7
truncated,6510165600,смт Зеленівка (Зеленовка),6510165600:02:001:0845,0.0453,0.0223,0.4912,7
truncated,6510165600,смт Зеленівка (Зеленовка),6510165600:13:032:0011,6.689,3.2804,0.4904,14
truncated,6510165600,смт Зеленівка (Зеленовка),6510165600:04:001:0999,2.7059,1.3059,0.4826,5
truncated,6510165600,смт Зеленівка (Зеленовка),6510165600:14:003:0004,4.7098,2.1717,0.4611,6
truncated,6510165600,смт Зеленівка (Зеленовка),6510165600:04:001:0812,1.8434,0.8495,0.4608,8
truncated,6510165600,смт Зеленівка (Зеленовка),6510165600:12:015:0013,2.7056,1.1981,0.4428,5
